demo,map,round_number,tick_number,time_remaining,ct_score,t_score,ct_alive,ct_total_hp,ct_money,ct_equip_val,ct_rifle_count,ct_awp_alive,ct_pistol_only,ct_smokes,ct_mollies,ct_flashes,ct_nades,ct_any_blinded,ct_any_scoped,ct_any_defusing,ct_has_kit,ct_in_bombsite_a,ct_in_bombsite_b,t_alive,t_total_hp,t_money,t_equip_val,t_rifle_count,t_awp_alive,t_pistol_only,t_smokes,t_mollies,t_flashes,t_nades,t_any_blinded,t_any_scoped,t_any_planting,t_in_bombsite_a,t_in_bombsite_b,t_bomb_carrier_alive,bomb_planted,bomb_site,time_since_plant,ct_win
parivision-vs-g2-m1-mirage,de_mirage,0,1408,69.66,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1424,69.41,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1440,69.16,0,0,5,500,1350,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1456,68.91,0,0,5,500,1350,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1472,68.66,0,0,5,500,1350,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1488,68.41,0,0,5,500,1300,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1504,68.16,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1520,67.91,0,0,5,500,1300,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1536,67.66,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1552,67.41,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1568,67.16,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1584,66.91,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1600,66.66,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1616,66.41,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1632,66.16,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1648,65.91,0,0,5,500,1300,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1664,65.66,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1680,65.41,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1696,65.16,0,0,5,500,650,1000,0,0,5,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
parivision-vs-g2-m1-mirage,de_mirage,0,1712,64.91,0,0,5,500,650,1000,0,0,4,1,0,0,0,0,0,0,1,0,0,5,500,650,1000,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0.0,1
